Kementerian Koordinator Bidang Politik, Hukum, dan Keamanan
Kementerian Koordinator Bidang Perekonomian
Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan
Kementerian Koordinator Bidang Kemaritiman dan Investasi
Kementerian Koperasi dan Usaha Kecil dan Menengah
Kementerian Badan Usaha Milik Negara
Kementerian Pemberdayaan Perempuan dan Perlindungan Anak
Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
Kementerian Pemuda dan Olahraga
Kementerian Desa, Pembangunan Daerah Tertinggal dan Transmigrasi
Kementerian Dalam Negeri
Kementerian Luar Negeri
Kementerian Pertahanan
Kementerian Hukum dan Hak Asasi Manusia
Kementerian Keuangan
Kementerian Pertanian
Kementerian Energi dan Sumber Daya Mineral
Kementerian Perhubungan
Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi
Kementerian Kesehatan
Kementerian Agama
Kementerian Ketenagakerjaan
Kementerian Sosial
Kementerian Lingkungan Hidup dan Kehutanan
Kementerian Kelautan dan Perikanan
Kementerian Komunikasi dan Informatika
Kementerian Perdagangan
Kementerian Perindustrian
Kementerian Pekerjaan Umum dan Perumahan Rakyat
Kementerian Pariwisata dan Ekonomi Kreatif/Badan Pariwisata dan Ekonomi Kreatif
Kementerian Sekretariat Negara
Sekretariat Jenderal MPR
Sekretariat Jenderal DPR RI
Mahkamah Agung RI
Badan Pemeriksa Keuangan
Setjen WANTANNAS
Badan Siber dan Sandi Negara
Badan Kepegawaian Negara
Lembaga Administrasi Negara
Badan Pusat Statistik
Kementerian Perencanaan Pembangunan Nasional/Bappenas
Arsip Nasional Republik Indonesia
Badan Informasi Geospasial
Badan Kependudukan dan Keluarga Berencana Nasional
Kementerian Investasi/Badan Koordinasi Penanaman Modal
Badan Pengawasan Keuangan dan Pembangunan
Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional
Perpustakaan Nasional RI
Badan Standardisasi Nasional
Badan Pengawas Tenaga Nuklir
Badan Pengawas Obat dan Makanan
Kepolisian Negara
Badan Narkotika Nasional
Setjen Komisi Pemilihan Umum
Badan Nasional Penanggulangan Bencana
Setjen KOMNAS HAM
Kepaniteraan dan Sekretariat Jenderal Mahkamah Konstitusi RI
Sekretariat Jenderal Komisi Yudisial
Setjen Dewan Perwakilan Daerah
Badan Pelindungan Pekerja Migran Indonesia
Badan Keamanan Laut RI
Badan Nasional Pencarian dan Pertolongan
Pusat Pelaporan dan Analisis Transaksi Keuangan
Badan Nasional Penanggulangan Terorisme
Setjen Komisi Pengawas Persaingan Usaha
Badan Pengawas Pemilihan Umum
Komisi Aparatur Sipil Negara
Lembaga Perlindungan Saksi dan Korban
Badan Pembinaan Ideologi Pancasila
Badan Pangan Nasional
Sekretariat Jenderal Dewan Nasional Kawasan Ekonomi Khusus
Badan Karantina Indonesia
